title,link
4 hours ago,https://news.ycombinator.com/item?id=45690251
Alaska Airlines' statement on IT outage,https://news.alaskaair.com/on-the-record/alaska-statement-on-it-outage/
2 hours ago,https://news.ycombinator.com/item?id=45691127
Counter-Strike's player economy is in a multi-billion dollar freefall,https://www.polygon.com/counter-strike-cs-player-economy-multi-billion-dollar-freefall/
7 hours ago,https://news.ycombinator.com/item?id=45689241
Betty White's shoulder bag is a time capsule of World War II (2023),https://americanhistory.si.edu/explore/stories/betty-white-world-war-ii
9 hours ago,https://news.ycombinator.com/item?id=45613327
14 hours ago,https://news.ycombinator.com/item?id=45684134
/dev/null is an ACID compliant database,https://jyu.dev/blog/why-dev-null-is-an-acid-compliant-database/
10 hours ago,https://news.ycombinator.com/item?id=45687458
